Team Name,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Team Average (2000-present)
Arizona Diamondbacks,"$112,688,666","$89,100,500","$74,284,833","$53,639,833","$60,718,167","$73,571,667","$66,202,712","$52,067,546","$59,684,226","$63,015,834","$70,204,984","$80,640,333","$102,820,000","$81,206,513","$81,027,833","$74,724,910"
Atlanta Braves,"$110,897,341","$89,778,192","$83,309,942","$87,003,192","$84,423,667","$96,726,167","$102,365,683","$87,290,833","$90,156,876","$85,148,582","$88,507,788","$106,243,667","$93,470,367","$91,851,687","$84,537,836","$92,114,121"
Baltimore Orioles,"$107,406,623","$90,993,333","$81,428,999","$85,304,038","$81,612,500","$67,101,667","$67,196,246","$93,554,808","$72,585,582","$74,570,539","$51,212,653","$73,877,500","$60,493,487","$72,426,328","$81,447,435","$77,414,116"
Boston Red Sox,"$162,817,411","$150,655,500","$173,186,617","$161,407,476","$162,747,333","$122,696,000","$133,390,035","$143,026,214","$120,099,824","$121,311,945","$125,208,542","$99,946,500","$108,366,060","$109,558,908","$77,940,333","$131,490,580"
Chicago Cubs,"$89,007,857","$104,304,676","$88,197,033","$125,480,664","$146,859,000","$135,050,000","$118,345,833","$99,670,332","$94,424,499","$87,210,933","$91,101,667","$79,868,333","$75,690,833","$64,015,833","$60,539,333","$97,317,788"
Chicago White Sox,"$91,159,254","$119,073,277","$96,919,500","$129,285,539","$108,273,197","$96,068,500","$121,189,332","$108,671,833","$102,750,667","$75,228,000","$65,212,500","$51,010,000","$57,052,833","$62,363,000","$31,133,500","$87,692,729"
Cincinnati Reds,"$112,390,772","$107,491,305","$82,203,616","$76,181,365","$72,386,544","$70,968,500","$74,117,695","$68,904,980","$60,909,519","$59,658,275","$43,067,858","$59,355,667","$45,050,390","$45,227,882","$46,867,200","$68,318,771"
Cleveland Indians,"$82,534,800","$77,772,800","$78,430,300","$49,188,867","$61,203,967","$81,625,567","$78,970,066","$61,673,267","$56,031,500","$41,830,400","$34,569,300","$48,584,834","$78,909,448","$91,974,979","$75,880,871","$66,612,064"
Colorado Rockies,"$95,832,071","$71,924,071","$78,069,571","$87,998,071","$84,227,000","$75,201,000","$68,655,500","$54,424,000","$41,233,000","$47,789,000","$64,590,403","$67,179,667","$56,851,043","$71,068,000","$61,111,190","$68,410,239"
Detroit Tigers,"$162,228,527","$148,414,500","$132,300,000","$105,705,232","$122,864,929","$115,085,145","$137,685,196","$95,180,369","$82,612,866","$68,998,183","$46,353,554","$49,168,000","$55,048,000","$49,831,167","$58,265,167","$95,316,056"
Florida Marlins,"$47,565,400","$36,341,900","$118,078,000","$56,944,000","$55,641,500","$36,814,000","$21,811,500","$30,507,000","$14,998,500","$60,375,961","$42,118,042","$49,050,000","$41,979,917","$35,504,167","$20,072,000","$44,520,126"
Houston Astros,"$44,544,174","$22,062,600","$60,651,000","$70,694,000","$92,355,500","$102,996,415","$88,930,414","$87,759,000","$92,551,503","$76,779,022","$74,666,303","$71,040,000","$63,448,417","$60,382,667","$51,289,111","$70,676,675"
